company,period,type,item, amount , previous 
New York City Ballet,2019-07,asset,cash," $644,762 "," $1,265,745 "
New York City Ballet,2019-07,asset,savings," $21,009,344 "," $23,305,637 "
New York City Ballet,2019-07,asset,pledges," $8,293,368 "," $12,342,194 "
New York City Ballet,2019-07,asset,accounts receivable," $842,472 "," $810,915 "
New York City Ballet,2019-07,asset,inventories," $665,467 "," $415,610 "
New York City Ballet,2019-07,asset,prepaid expenses," $829,148 "," $1,566,441 "
New York City Ballet,2019-07,asset,buildings/equipment," $69,565,645 "," $73,465,785 "
New York City Ballet,2019-07,asset,public securities," $54,141,491 "," $56,294,687 "
New York City Ballet,2019-07,asset,other securities," $145,278,959 "," $155,956,302 "
New York City Ballet,2019-07,liability,accounts payable," $6,950,728 "," $9,140,700 "
New York City Ballet,2019-07,liability,deferred revenue," $1,952,524 "," $6,966,226 "
New York City Ballet,2019-07,liability,other," $15,887,513 "," $13,969,604 "
ABT,2020-01,asset,cash," $10,006,635 "," $3,613,230 "
ABT,2020-01,asset,savings," $6,565,255 "," $5,754,339 "
ABT,2020-01,asset,pledges," $9,615,424 "," $11,592,860 "
ABT,2020-01,asset,accounts receivable," $1,912,115 "," $864,944 "
ABT,2020-01,asset,inventories," $72,021 "," $72,021 "
ABT,2020-01,asset,prepaid expenses," $2,002,171 "," $4,665,001 "
ABT,2020-01,asset,buildings/equipment," $5,739,009 "," $6,679,044 "
ABT,2020-01,asset,public securities," $26,340,261 "," $24,202,403 "
ABT,2020-01,asset,other," $2,794,768 "," $3,138,903 "
ABT,2020-01,liability,accounts payable," $4,840,359 "," $4,208,884 "
ABT,2020-01,liability,deferred revenue," $1,804,758 "," $853,573 "
ABT,2020-01,liability,secured mortgages," $7,989,945 "," $7,977,101 "
ABT,2020-01,liability,other," $5,500,000 ", $-   
Alvin Ailey,2019-07,asset,cash," $7,940,517 "," $6,270,832 "
Alvin Ailey,2019-07,asset,savings," $1,643,006 "," $3,138,918 "
Alvin Ailey,2019-07,asset,pledges," $5,617,322 "," $3,133,759 "
Alvin Ailey,2019-07,asset,accounts receivable," $1,309,387 "," $2,841,991 "
Alvin Ailey,2019-07,asset,inventories," $15,893 "," $15,893 "
Alvin Ailey,2019-07,asset,prepaid expenses," $412,921 "," $821,211 "
Alvin Ailey,2019-07,asset,buildings/equipment," $55,633,058 "," $56,720,626 "
Alvin Ailey,2019-07,asset,public securities," $110,852,639 "," $104,968,116 "
Alvin Ailey,2019-07,asset,other securities," $37,765,021 "," $41,337,334 "
Alvin Ailey,2019-07,asset,other," $3,378,931 "," $4,924,975 "
Alvin Ailey,2019-07,liability,accounts payable," $2,535,448 "," $3,035,410 "
Alvin Ailey,2019-07,liability,deferred revenue," $6,132,159 "," $3,986,972 "
Alvin Ailey,2019-07,liability,bond liabilities," $24,723,589 "," $25,227,495 "
Alvin Ailey,2019-07,liability,other," $2,996,794 "," $3,995,066 "
Boston Ballet,2019-07,asset,cash," $10,326,453 "," $2,253,645 "
Boston Ballet,2019-07,asset,savings," $250,000 "," $250,000 "
Boston Ballet,2019-07,asset,pledges," $12,056,968 "," $6,158,527 "
Boston Ballet,2019-07,asset,accounts receivable," $196,449 "," $296,480 "
Boston Ballet,2019-07,asset,inventories, $-   ," $188,164 "
Boston Ballet,2019-07,asset,prepaid expenses," $583,549 "," $1,250,091 "
Boston Ballet,2019-07,asset,buildings/equipment," $11,284,209 "," $12,721,180 "
Boston Ballet,2019-07,asset,public securities," $14,474,074 "," $13,708,651 "
Boston Ballet,2019-07,asset,other securities," $3,661,613 "," $3,272,514 "
Boston Ballet,2019-07,asset,program related investments," $294,724 "," $278,834 "
Boston Ballet,2019-07,asset,other," $618,309 "," $639,034 "
Boston Ballet,2019-07,liability,accounts payable," $1,775,743 "," $2,326,052 "
Boston Ballet,2019-07,liability,deferred revenue," $3,847,206 "," $6,442,866 "
Boston Ballet,2019-07,liability,secured mortgages," $8,379,500 "," $5,400,000 "
Boston Ballet,2019-07,liability,other," $1,504,061 "," $1,629,399 "
Houston Ballet,2019-07,asset,cash, $-   , $-   
Houston Ballet,2019-07,asset,savings," $17,527,700 "," $16,864,899 "
Houston Ballet,2019-07,asset,pledges," $2,715,316 "," $3,647,754 "
Houston Ballet,2019-07,asset,accounts receivable," $130,656 "," $32,998 "
Houston Ballet,2019-07,asset,prepaid expenses," $730,186 "," $1,196,930 "
Houston Ballet,2019-07,asset,buildings/equipment," $43,200,870 "," $42,804,376 "
Houston Ballet,2019-07,asset,public securities," $78,044,659 "," $70,536,129 "
Houston Ballet,2019-07,asset,other securities, $-   ," $7,193,745 "
Pacific Northwest Ballet,2019-07,asset,cash," $3,871,412 "," $2,441,162 "
Pacific Northwest Ballet,2019-07,asset,savings," $1,228,147 "," $250,945 "
Pacific Northwest Ballet,2019-07,asset,pledges," $634,505 "," $1,702,479 "
Pacific Northwest Ballet,2019-07,asset,accounts receivable," $124,651 "," $94,026 "
Pacific Northwest Ballet,2019-07,asset,inventories," $273,833 "," $248,528 "
Pacific Northwest Ballet,2019-07,asset,prepaid expenses," $426,778 "," $808,021 "
Pacific Northwest Ballet,2019-07,asset,buildings/equipment," $11,214,537 "," $12,352,509 "
Pacific Northwest Ballet,2019-07,asset,public securities," $164,670 "," $151,340 "
Pacific Northwest Ballet,2019-07,asset,other," $334,016 "," $194,435 "
Pacific Northwest Ballet,2019-07,liability,accounts payable," $1,777,899 "," $2,480,501 "
Pacific Northwest Ballet,2019-07,liability,deferred revenue," $2,379,738 "," $4,445,556 "
Pacific Northwest Ballet,2019-07,liability,unsecured notes," $3,087,000 ", $-   
Pacific Northwest Ballet,2019-07,liability,other," $115,147 "," $119,471 "
Joffrey Ballet,2019-07,asset,cash," $5,428,936 "," $2,025,197 "
Joffrey Ballet,2019-07,asset,savings," $1,004,380 "," $1,007,212 "
Joffrey Ballet,2019-07,asset,pledges," $5,206,710 "," $4,037,872 "
Joffrey Ballet,2019-07,asset,accounts receivable," $704,637 "," $704,711 "
Joffrey Ballet,2019-07,asset,prepaid expenses," $743,026 "," $522,053 "
Joffrey Ballet,2019-07,asset,buildings/equipment," $17,508,103 "," $18,097,603 "
Joffrey Ballet,2019-07,asset,other securities," $6,921,629 "," $4,700,667 "
Joffrey Ballet,2019-07,asset,other," $172,977 "," $166,916 "
Joffrey Ballet,2019-07,liability,accounts payable," $468,792 "," $477,218 "
Joffrey Ballet,2019-07,liability,deferred revenue," $1,586,488 "," $2,434,976 "
Joffrey Ballet,2019-07,liability,unsecured notes," $2,019,225 ", $-   
Ballet West,2019-08,asset,cash, - , - 
Ballet West,2019-08,asset,savings," $333,391 "," $80,473 "
Ballet West,2019-08,asset,pledges," $564,463 "," $974,151 "
Ballet West,2019-08,asset,accounts receivable," $1,521,869 "," $2,010,325 "
Ballet West,2019-08,asset,prepaid expenses," $445,645 "," $507,436 "
Ballet West,2019-08,asset,buildings/equipment," $4,039,134 "," $4,140,221 "
Ballet West,2019-08,asset,public securities," $1,989,343 "," $1,830,147 "
Ballet West,2019-08,asset,other," $863,520 "," $790,350 "
Ballet West,2019-08,liability,accounts payable," $656,873 "," $655,592 "
Ballet West,2019-08,liability,deferred revenue," $915,973 "," $957,039 "
Ballet West,2019-08,liability,secured mortgages," $4,464,071 "," $4,195,866 "
Ballet West,2019-08,liability,other," $594,912 "," $591,061 "
Washington Ballet,2019-07,asset,cash," $1,892,052 "," $492,807 "
Washington Ballet,2019-07,asset,savings, $-   , $-   
Washington Ballet,2019-07,asset,pledges," $698,247 "," $631,854 "
Washington Ballet,2019-07,asset,accounts receivable," $141,974 "," $37,900 "
Washington Ballet,2019-07,asset,prepaid expenses," $143,306 "," $206,567 "
Washington Ballet,2019-07,asset,buildings/equipment," $3,267,115 "," $5,309,692 "
Washington Ballet,2019-07,asset,public securities," $361,669 "," $314,157 "
Washington Ballet,2019-07,liability,accounts payable," $1,169,923 "," $1,251,417 "
Washington Ballet,2019-07,liability,deferred revenue," $698,732 "," $1,207,324 "
Washington Ballet,2019-07,liability,loans to key individuals,," $175,000 "
Washington Ballet,2019-07,liability,secured mortgages," $418,311 "," $2,216,455 "
Washington Ballet,2019-07,liability,other," $1,588,196 "," $355,493 "
Pittsburgh Ballet Theatre,2019-07,asset,cash," $139,753 "," $86,248 "
Pittsburgh Ballet Theatre,2019-07,asset,savings," $1,552,704 "," $927,959 "
Pittsburgh Ballet Theatre,2019-07,asset,pledges," $717,693 "," $1,234,782 "
Pittsburgh Ballet Theatre,2019-07,asset,accounts receivable," $58,803 "," $15,608 "
Pittsburgh Ballet Theatre,2019-07,asset,loans to key individuals," $3,377 "," $5,000 "
Pittsburgh Ballet Theatre,2019-07,asset,inventories," $23,088 "," $12,088 "
Pittsburgh Ballet Theatre,2019-07,asset,prepaid expenses," $431,057 "," $388,923 "
Pittsburgh Ballet Theatre,2019-07,asset,buildings/equipment," $9,033,777 "," $9,188,616 "
Pittsburgh Ballet Theatre,2019-07,asset,public securities," $8,420,544 "," $8,446,141 "
Pittsburgh Ballet Theatre,2019-07,asset,other securities," $354,035 "," $372,162 "
Pittsburgh Ballet Theatre,2019-07,asset,other," $191,668 "," $201,167 "
Pittsburgh Ballet Theatre,2019-07,liability,accounts payable," $122,998 "," $335,832 "
Pittsburgh Ballet Theatre,2019-07,liability,deferred revenue," $2,015,451 "," $1,489,868 "
Pittsburgh Ballet Theatre,2019-07,liability,secured mortgages," $319,330 "," $200,000 "
Kansas City Ballet,2019-07,asset,cash, $-   , $-   
Kansas City Ballet,2019-07,asset,savings," $1,050,046 "," $1,395,724 "
Kansas City Ballet,2019-07,asset,pledges," $2,362,290 "," $4,067,611 "
Kansas City Ballet,2019-07,asset,accounts receivable, $-   , $-   
Kansas City Ballet,2019-07,asset,prepaid expenses," $276,513 "," $419,542 "
Kansas City Ballet,2019-07,asset,buildings/equipment," $23,064,192 "," $23,587,761 "
Kansas City Ballet,2019-07,asset,public securities," $14,362,787 "," $12,287,028 "
Kansas City Ballet,2019-07,asset,program related investments," $262,915 "," $307,225 "
Kansas City Ballet,2019-07,asset,other," $183,814 "," $167,990 "
Kansas City Ballet,2019-07,liability,accounts payable," $489,994 "," $483,382 "
Kansas City Ballet,2019-07,liability,deferred revenue," $617,466 "," $974,651 "
Kansas City Ballet,2019-07,liability,unsecured notes," $910,800 ", $-   
Colorado Ballet,2019-07,asset,cash, $-   , $-   
Colorado Ballet,2019-07,asset,savings," $3,693,774 "," $2,642,245 "
Colorado Ballet,2019-07,asset,pledges," $392,970 "," $280,339 "
Colorado Ballet,2019-07,asset,accounts receivable," $69,544 "," $39,975 "
