company,period,item, amount 
New York City Ballet,2019-07,domestic grants org," $10,319 "
New York City Ballet,2019-07,officer compensation," $1,864,149 "
New York City Ballet,2019-07,other salaries," $40,778,905 "
New York City Ballet,2019-07,pension plan contributions," $4,365,179 "
New York City Ballet,2019-07,other employee benefits," $10,013,641 "
New York City Ballet,2019-07,payroll taxes," $4,723,333 "
New York City Ballet,2019-07,legal," $1,230,459 "
New York City Ballet,2019-07,accounting," $91,761 "
New York City Ballet,2019-07,lobbying," $10,000 "
New York City Ballet,2019-07,professional fundraising," $171,768 "
New York City Ballet,2019-07,investment management," $686,235 "
New York City Ballet,2019-07,other," $1,456,275 "
New York City Ballet,2019-07,promotion," $2,931,473 "
New York City Ballet,2019-07,office expenses," $614,320 "
New York City Ballet,2019-07,information technology," $281,132 "
New York City Ballet,2019-07,royalties," $837,947 "
New York City Ballet,2019-07,occupancy," $4,527,757 "
New York City Ballet,2019-07,travel," $546,343 "
New York City Ballet,2019-07,conferences," $13,556 "
New York City Ballet,2019-07,depreciation," $4,886,301 "
New York City Ballet,2019-07,insurance," $888,555 "
New York City Ballet,2019-07,patron cultivation," $279,795 "
New York City Ballet,2019-07,production material," $1,208,892 "
New York City Ballet,2019-07,misc," $1,524,654 "
ABT,2020-01,domestic grants ind," $549,665 "
ABT,2020-01,foreign grants," $96,509 "
ABT,2020-01,officer compensation," $1,244,278 "
ABT,2020-01,other salaries," $12,282,986 "
ABT,2020-01,pension plan contributions," $358,802 "
ABT,2020-01,other employee benefits," $4,359,805 "
ABT,2020-01,payroll taxes," $987,792 "
ABT,2020-01,legal," $173,122 "
ABT,2020-01,accounting," $60,492 "
ABT,2020-01,professional fundraising," $151,419 "
ABT,2020-01,investment management," $117,446 "
ABT,2020-01,other," $812,121 "
ABT,2020-01,promotion," $915,715 "
ABT,2020-01,office expenses," $245,477 "
ABT,2020-01,information technology," $115,094 "
ABT,2020-01,royalties," $70,577 "
ABT,2020-01,occupancy," $1,143,166 "
ABT,2020-01,travel," $1,303,575 "
ABT,2020-01,interest," $305,463 "
ABT,2020-01,depreciation," $2,070,835 "
ABT,2020-01,insurance," $144,703 "
ABT,2020-01,venue labor," $606,566 "
ABT,2020-01,production," $376,483 "
ABT,2020-01,credit card/bank fees," $348,490 "
ABT,2020-01,shoes/tights," $258,915 "
ABT,2020-01,misc," $641,083 "
Alvin Ailey,2019-07,domestic grants ind," $1,995,797 "
Alvin Ailey,2019-07,officer compensation," $1,896,744 "
Alvin Ailey,2019-07,other salaries," $17,424,077 "
Alvin Ailey,2019-07,pension plan contributions," $531,893 "
Alvin Ailey,2019-07,other employee benefits," $2,591,266 "
Alvin Ailey,2019-07,payroll taxes," $1,377,464 "
Alvin Ailey,2019-07,legal," $49,851 "
Alvin Ailey,2019-07,accounting," $182,051 "
Alvin Ailey,2019-07,investment management," $603,759 "
Alvin Ailey,2019-07,other," $3,742,076 "
Alvin Ailey,2019-07,promotion," $1,246,334 "
Alvin Ailey,2019-07,office expenses," $504,562 "
Alvin Ailey,2019-07,information technology," $436,607 "
Alvin Ailey,2019-07,royalties," $133,066 "
Alvin Ailey,2019-07,occupancy," $2,668,480 "
Alvin Ailey,2019-07,travel," $1,852,061 "
Alvin Ailey,2019-07,interest," $849,815 "
Alvin Ailey,2019-07,depreciation," $1,993,716 "
Alvin Ailey,2019-07,insurance," $269,037 "
Alvin Ailey,2019-07,production," $492,021 "
Alvin Ailey,2019-07,equipment rental," $430,451 "
Alvin Ailey,2019-07,credit card/bank fees," $364,303 "
Alvin Ailey,2019-07,costumes/wardrobe," $297,458 "
Alvin Ailey,2019-07,misc," $697,222 "
Boston Ballet,2019-07,officer compensation," $1,155,204 "
Boston Ballet,2019-07,other salaries," $12,167,893 "
Boston Ballet,2019-07,pension plan contributions," $200,472 "
Boston Ballet,2019-07,other employee benefits," $1,512,123 "
Boston Ballet,2019-07,payroll taxes," $1,358,567 "
Boston Ballet,2019-07,legal," $39,920 "
Boston Ballet,2019-07,accounting," $55,225 "
Boston Ballet,2019-07,other," $469,676 "
Boston Ballet,2019-07,promotion," $2,423,690 "
Boston Ballet,2019-07,office expenses," $53,610 "
Boston Ballet,2019-07,information technology," $384,610 "
Boston Ballet,2019-07,royalties," $212,764 "
Boston Ballet,2019-07,occupancy," $2,972,077 "
Boston Ballet,2019-07,travel," $402,003 "
Boston Ballet,2019-07,conferences," $12,258 "
Boston Ballet,2019-07,interest," $197,254 "
Boston Ballet,2019-07,depreciation," $1,633,312 "
Boston Ballet,2019-07,insurance," $596,363 "
Boston Ballet,2019-07,production," $3,726,385 "
Boston Ballet,2019-07,ballet school program," $87,512 "
Boston Ballet,2019-07,credit card/bank fees," $459,727 "
Boston Ballet,2019-07,special events," $458,698 "
Boston Ballet,2019-07,misc," $223,990 "
Houston Ballet,2019-07,officer compensation," $2,057,088 "
Houston Ballet,2019-07,other salaries," $14,080,398 "
Houston Ballet,2019-07,pension plan contributions," $752,223 "
Houston Ballet,2019-07,other employee benefits," $2,410,963 "
Houston Ballet,2019-07,payroll taxes," $1,717,388 "
Houston Ballet,2019-07,management," $10,000 "
Houston Ballet,2019-07,legal, $608 
Houston Ballet,2019-07,accounting," $57,545 "
Houston Ballet,2019-07,investment management," $285,050 "
Houston Ballet,2019-07,promotion," $2,413,508 "
Houston Ballet,2019-07,office expenses," $2,327,787 "
Houston Ballet,2019-07,information technology," $274,371 "
Houston Ballet,2019-07,royalties," $92,248 "
Houston Ballet,2019-07,occupancy," $1,296,184 "
Houston Ballet,2019-07,travel," $262,680 "
Houston Ballet,2019-07,affiliate payments," $20,600 "
Houston Ballet,2019-07,depreciation," $1,812,749 "
