company,period,type,item, amount 
New York City Ballet,2019-07,contributions,fundraising events," $5,015,065 "
New York City Ballet,2019-07,contributions,government grants," $2,340,580 "
New York City Ballet,2019-07,contributions,other contributions," $18,900,699 "
New York City Ballet,2019-07,programs,ticket sales," $27,995,810 "
New York City Ballet,2019-07,programs,tour fees," $1,109,653 "
New York City Ballet,2019-07,programs,rentals," $10,059,386 "
New York City Ballet,2019-07,programs,patron services," $5,072 "
New York City Ballet,2019-07,programs,gift shop," $113,914 "
New York City Ballet,2019-07,programs,other," $147,255 "
New York City Ballet,2019-07,other,investment," $1,462,561 "
New York City Ballet,2019-07,other,royalties," $19,707 "
New York City Ballet,2019-07,other,securities," $564,653 "
New York City Ballet,2019-07,other,fundraising events," $(259,808)"
New York City Ballet,2019-07,misc,mail list," $1,255 "
New York City Ballet,2019-07,misc,pass thru k1," $2,276 "
ABT,2020-01,contributions,fundraising events," $858,665 "
ABT,2020-01,contributions,government grants," $185,000 "
ABT,2020-01,contributions,other contributions," $20,673,881 "
ABT,2020-01,programs,tuition," $3,509,301 "
ABT,2020-01,programs,ticket sales," $1,047,047 "
ABT,2020-01,programs,school programs," $236,358 "
ABT,2020-01,programs,housing," $28,618 "
ABT,2020-01,programs,rentals," $26,295 "
ABT,2020-01,programs,other, $705 
ABT,2020-01,other,investment," $637,856 "
ABT,2020-01,other,royalties, $52 
ABT,2020-01,other,securities," $(267,537)"
ABT,2020-01,other,inventory sales," $17,034 "
ABT,2020-01,misc,insurance proceeds," $1,000,000 "
ABT,2020-01,misc,other," $79,131 "
Alvin Ailey,2019-07,contributions,fundraising events," $3,386,669 "
Alvin Ailey,2019-07,contributions,government grants," $421,642 "
Alvin Ailey,2019-07,contributions,other contributions," $12,190,261 "
Alvin Ailey,2019-07,programs,tuition," $10,431,370 "
Alvin Ailey,2019-07,programs,ticket sales," $8,396,706 "
Alvin Ailey,2019-07,programs,studio income," $742,171 "
Alvin Ailey,2019-07,programs,student fees," $540,587 "
Alvin Ailey,2019-07,programs,school programs," $61,812 "
Alvin Ailey,2019-07,other,investment," $3,080,803 "
Alvin Ailey,2019-07,other,royalties," $59,510 "
Alvin Ailey,2019-07,other,securities," $1,240,479 "
Alvin Ailey,2019-07,other,fundraising events," $(670,920)"
Alvin Ailey,2019-07,misc,other," $144,828 "
Alvin Ailey,2019-07,misc,performance," $106,385 "
Boston Ballet,2019-07,contributions,fundraising events," $1,857,950 "
Boston Ballet,2019-07,contributions,government grants," $72,250 "
Boston Ballet,2019-07,contributions,other contributions," $23,746,789 "
Boston Ballet,2019-07,programs,ticket sales," $9,288,807 "
Boston Ballet,2019-07,programs,tuition," $6,942,350 "
Boston Ballet,2019-07,programs,community initiatives," $67,375 "
Boston Ballet,2019-07,other,investment," $420,735 "
Boston Ballet,2019-07,other,securities," $545,303 "
Boston Ballet,2019-07,other,fundraising events," $(346,061)"
Boston Ballet,2019-07,other,inventory sales," $13,929 "
Boston Ballet,2019-07,misc,production," $100,510 "
Boston Ballet,2019-07,misc,performance," $261,352 "
Boston Ballet,2019-07,misc,other," $703,796 "
Houston Ballet,2019-07,contributions,membership dues," $905,057 "
Houston Ballet,2019-07,contributions,fundraising events," $1,746,562 "
Houston Ballet,2019-07,contributions,related organizations," $5,482,929 "
Houston Ballet,2019-07,contributions,government grants," $2,188,896 "
Houston Ballet,2019-07,contributions,other contributions," $5,286,167 "
Houston Ballet,2019-07,programs,ticket sales," $8,329,254 "
Houston Ballet,2019-07,programs,tuition," $3,901,180 "
Houston Ballet,2019-07,other,investment," $2,201,018 "
Houston Ballet,2019-07,other,asset sales," $2,721,826 "
Houston Ballet,2019-07,other,fundraising events," $(194,546)"
Houston Ballet,2019-07,misc,insurance proceeds," $531,594 "
Houston Ballet,2019-07,misc,gift shop," $464,897 "
Houston Ballet,2019-07,misc,ticket handling," $27,466 "
Houston Ballet,2019-07,misc,other," $61,391 "
Pacific Northwest Ballet,2019-07,contributions,federated campaigns," $483,020 "
Pacific Northwest Ballet,2019-07,contributions,fundraising events," $355,250 "
Pacific Northwest Ballet,2019-07,contributions,related organizations," $800,000 "
Pacific Northwest Ballet,2019-07,contributions,government grants," $295,427 "
Pacific Northwest Ballet,2019-07,contributions,other contributions," $8,417,756 "
Pacific Northwest Ballet,2019-07,programs,ticket sales," $9,617,730 "
Pacific Northwest Ballet,2019-07,programs,tuition," $4,062,921 "
Pacific Northwest Ballet,2019-07,programs,conditioning fees," $175,354 "
Pacific Northwest Ballet,2019-07,programs,outreach fees," $122,709 "
Pacific Northwest Ballet,2019-07,programs,performance fees," $50,000 "
Pacific Northwest Ballet,2019-07,programs,other," $48,257 "
Pacific Northwest Ballet,2019-07,other,investment," $47,000 "
Pacific Northwest Ballet,2019-07,other,royalties," $1,016 "
Pacific Northwest Ballet,2019-07,other,rentals," $105,670 "
Pacific Northwest Ballet,2019-07,other,asset sales," $48,000 "
Pacific Northwest Ballet,2019-07,other,fundraising events," $142,051 "
Pacific Northwest Ballet,2019-07,misc,gift shop," $139,581 "
Joffrey Ballet,2019-07,contributions,fundraising events," $971,013 "
Joffrey Ballet,2019-07,contributions,government grants," $53,400 "
Joffrey Ballet,2019-07,contributions,other contributions," $14,499,570 "
Joffrey Ballet,2019-07,programs,ticket sales," $6,641,144 "
Joffrey Ballet,2019-07,programs,academy revenue," $2,602,822 "
Joffrey Ballet,2019-07,programs,community initiatives," $173,188 "
Joffrey Ballet,2019-07,other,investment," $29,774 "
Joffrey Ballet,2019-07,other,asset sales," $291,159 "
Joffrey Ballet,2019-07,other,fundraising events," $(12,509)"
Ballet West,2019-08,contributions,government grants," $2,651,741 "
Ballet West,2019-08,contributions,other contributions," $2,721,029 "
Ballet West,2019-08,programs,ticket sales," $2,660,693 "
Ballet West,2019-08,programs,performance fees," $653,436 "
Ballet West,2019-08,programs,tuition," $2,874,263 "
Ballet West,2019-08,other,investment," $38,464 "
Ballet West,2019-08,other,rentals," $183,940 "
Ballet West,2019-08,other,inventory sales," $92,013 "
Ballet West,2019-08,misc,other," $92,890 "
Washington Ballet,2019-07,contributions,fundraising events," $800,422 "
Washington Ballet,2019-07,contributions,government grants," $1,202,823 "
Washington Ballet,2019-07,contributions,other contributions," $3,622,082 "
Washington Ballet,2019-07,programs,tuition," $3,614,407 "
Washington Ballet,2019-07,programs,ticket sales," $3,581,541 "
Washington Ballet,2019-07,other,investment," $3,368 "
Washington Ballet,2019-07,other,rentals," $55,354 "
Washington Ballet,2019-07,other,asset sales," $126,583 "
Washington Ballet,2019-07,other,fundraising events," $(86,851)"
Washington Ballet,2019-07,misc,other," $224,228 "
Washington Ballet,2019-07,misc,gift shop," $203,398 "
Pittsburgh Ballet Theatre,2019-07,contributions,fundraising events," $575,190 "
Pittsburgh Ballet Theatre,2019-07,contributions,government grants," $664,537 "
Pittsburgh Ballet Theatre,2019-07,contributions,other contributions," $4,344,413 "
Pittsburgh Ballet Theatre,2019-07,programs,ticket sales," $2,445,388 "
Pittsburgh Ballet Theatre,2019-07,programs,tuition," $2,056,623 "
Pittsburgh Ballet Theatre,2019-07,programs,touring income," $146,500 "
Pittsburgh Ballet Theatre,2019-07,programs,rentals," $53,947 "
Pittsburgh Ballet Theatre,2019-07,programs,program advertising," $28,659 "
Pittsburgh Ballet Theatre,2019-07,programs,other," $5,945 "
Pittsburgh Ballet Theatre,2019-07,other,investment," $239,369 "
Pittsburgh Ballet Theatre,2019-07,other,asset sales," $(766,344)"
Pittsburgh Ballet Theatre,2019-07,other,fundraising events," $(70,051)"
Pittsburgh Ballet Theatre,2019-07,other,inventory sales," $6,537 "
Kansas City Ballet,2019-07,contributions,fundraising events," $366,162 "
Kansas City Ballet,2019-07,contributions,government grants," $148,812 "
Kansas City Ballet,2019-07,contributions,other contributions," $2,608,873 "
