ein,company_name,city,state,country,deductability_code,efile,tax_pd,subseccd,s501c3or4947a1cd,schdbind,politicalactvtscd,lbbyingactvtscd,subjto6033cd,dnradvisedfundscd,prptyintrcvdcd,maintwrkofartcd,crcounselingqstncd,hldassetsintermpermcd,rptlndbldgeqptcd,rptinvstothsecd,rptinvstprgrelcd,rptothasstcd,rptothliabcd,sepcnsldtfinstmtcd,sepindaudfinstmtcd,inclinfinstmtcd,operateschools170cd,frgnofficecd,frgnrevexpnscd,frgngrntscd,frgnaggragrntscd,rptprofndrsngfeescd,rptincfnndrsngcd,rptincgamingcd,operatehosptlcd,hospaudfinstmtcd,rptgrntstogovtcd,rptgrntstoindvcd,rptyestocompnstncd,txexmptbndcd,invstproceedscd,maintescrwaccntcd,actonbehalfcd,engageexcessbnftcd,awarexcessbnftcd,loantofficercd,grantoofficercd,dirbusnreltdcd,fmlybusnreltdcd,servasofficercd,recvnoncashcd,recvartcd,ceaseoperationscd,sellorexchcd,ownsepentcd,reltdorgcd,intincntrlcd,orgtrnsfrcd,conduct5percentcd,compltschocd,f1096cnt,fw2gcnt,wthldngrulescd,noemplyeesw3cnt,filerqrdrtnscd,unrelbusinccd,filedf990tcd,frgnacctcd,prohibtdtxshltrcd,prtynotifyorgcd,filedf8886tcd,solicitcntrbcd,exprstmntcd,providegoodscd,notfydnrvalcd,filedf8282cd,f8282cnt,fndsrcvdcd,premiumspaidcd,filedf8899cd,filedf1098ccd,excbushldngscd,s4966distribcd,distribtodonorcd,initiationfees,grsrcptspublicuse,grsincmembers,grsincother,filedlieuf1041cd,txexmptint,qualhlthplncd,qualhlthreqmntn,qualhlthonhnd,rcvdpdtngcd,filedf720cd,totreprtabled,totcomprelatede,totestcompf,noindiv100kcnt,nocontractor100kcnt,totcntrbgfts,prgmservcode2acd,totrev2acola,prgmservcode2bcd,totrev2bcola,prgmservcode2ccd,totrev2ccola,prgmservcode2dcd,totrev2dcola,prgmservcode2ecd,totrev2ecola,totrev2fcola,totprgmrevnue,invstmntinc,txexmptbndsproceeds,royaltsinc,grsrntsreal,grsrntsprsnl,rntlexpnsreal,rntlexpnsprsnl,rntlincreal,rntlincprsnl,netrntlinc,grsalesecur,grsalesothr,cstbasisecur,cstbasisothr,gnlsecur,gnlsothr,netgnls,grsincfndrsng,lessdirfndrsng,netincfndrsng,grsincgaming,lessdirgaming,netincgaming,grsalesinvent,lesscstofgoods,netincsales,miscrev11acd,miscrevtota,miscrev11bcd,miscrevtot11b,miscrev11ccd,miscrevtot11c,miscrevtot11d,miscrevtot11e,totrevenue,grntstogovt,grnsttoindiv,grntstofrgngovt,benifitsmembrs,compnsatncurrofcr,compnsatnandothr,othrsalwages,pensionplancontrb,othremplyeebenef,payrolltx,feesforsrvcmgmt,legalfees,accntingfees,feesforsrvclobby,profndraising,feesforsrvcinvstmgmt,feesforsrvcothr,advrtpromo,officexpns,infotech,royaltsexpns,occupancy,travel,travelofpublicoffcl,converconventmtng,interestamt,pymtoaffiliates,deprcatndepletn,insurance,othrexpnsa,othrexpnsb,othrexpnsc,othrexpnsd,othrexpnse,othrexpnsf,totfuncexpns,nonintcashend,svngstempinvend,pldgegrntrcvblend,accntsrcvblend,currfrmrcvblend,rcvbldisqualend,notesloansrcvblend,invntriesalesend,prepaidexpnsend,lndbldgsequipend,invstmntsend,invstmntsothrend,invstmntsprgmend,intangibleassetsend,othrassetsend,totassetsend,accntspayableend,grntspayableend,deferedrevnuend,txexmptbndsend,escrwaccntliabend,paybletoffcrsend,secrdmrtgsend,unsecurednotesend,othrliabend,totliabend,unrstrctnetasstsend,temprstrctnetasstsend,permrstrctnetasstsend,capitalstktrstend,paidinsurplusend,retainedearnend,totnetassetend,totnetliabastend,nonpfrea,totnooforgscnt,totsupport,gftgrntsrcvd170,txrevnuelevied170,srvcsval170,pubsuppsubtot170,exceeds2pct170,pubsupplesspct170,samepubsuppsubtot170,grsinc170,netincunreltd170,othrinc170,totsupp170,grsrcptsrelated170,totgftgrntrcvd509,grsrcptsadmissn509,grsrcptsactivities509,txrevnuelevied509,srvcsval509,pubsuppsubtot509,rcvdfrmdisqualsub509,exceeds1pct509,subtotpub509,pubsupplesub509,samepubsuppsubtot509,grsinc509,unreltxincls511tx509,subtotsuppinc509,netincunrelatd509,othrinc509,totsupp509,...247,...248,...249,...250,...251
742434020,Abilene Ballet Theatre Inc.,Abilene,TX,United States,PC,E,201912,03,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,8,0,Y,0,N,N,N,N,N,N,N,N,N,N,N,N,0,N,N,N,N,N,N,N,0,0,0,0,N,0,N,0,0,N,N,0,0,0,0,0,47697,NA,148764,NA,13425,NA,7680,NA,6523,NA,3274,5537,185203,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,NA,0,0,0,232971,0,0,0,0,0,0,0,0,0,0,0,0,1201,0,0,0,0,4756,0,0,0,12898,20137,0,0,0,0,0,425,51928,19360,14375,13585,0,65385,204050,429000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,429000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,429000,429000,07,0,0,204503,0,0,204503,0,204503,204503,420,0,0,204923,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
134159687,Ajkun Ballet Theatre Inc.,Bronx,NY,United States,PC,E,201912,03,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,0,0,N,0,N,N,N,N,N,N,N,N,N,N,N,N,0,N,N,N,N,N,N,N,0,0,0,0,N,0,N,0,0,N,N,0,0,0,0,0,0,900099,34028,900099,8406,900099,203871,900099,178839,900099,29257,0,454401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,NA,0,0,0,454401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5066,0,0,0,51871,0,0,0,0,0,0,0,62264,27295,540,0,0,117639,264675,26706,0,0,0,0,0,0,0,257989,0,0,0,0,0,0,284695,0,0,0,0,0,0,0,0,0,0,0,0,0,0,284695,0,284695,284695,09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1278528,0,0,0,1278528,0,0,0,1278528,1278528,0,0,0,0,0,1278528,NA,NA,NA,NA,NA
272978701,Akhmedova Ballet Foundation Inc.,Silver Spring,MD,United States,PC,E,201912,03,Y,Y,N,N,N,N,N,N,N,N,Y,N,N,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,5,0,Y,1,Y,N,N,N,N,N,N,N,N,N,N,N,0,N,N,N,N,N,N,N,0,0,0,0,N,0,N,0,0,N,N,49500,0,0,0,0,28435,711120,168283,NA,0,NA,0,NA,0,NA,0,0,168283,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,900099,16653,NA,0,NA,0,0,16653,213371,0,0,0,0,48468,0,0,0,0,0,0,3300,5375,0,0,0,28173,8389,17744,0,0,49198,4382,0,0,0,0,6506,2479,288,18606,0,0,0,0,192908,59764,0,101965,0,0,0,0,0,19763,224960,0,0,0,0,0,406452,20344,0,15576,0,0,247560,0,0,0,283480,0,0,0,0,0,0,122972,406452,09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99602,951027,0,0,0,1050629,0,0,0,1050629,1050629,0,0,0,0,28595,1079224,NA,NA,NA,NA,NA
611716451,Alabama River Region Ballet School and Youth Company,Montgomery,AL,United States,PC,E,201905,03,Y,Y,N,N,N,N,N,N,N,N,Y,N,N,N,Y,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,15,0,N,6,Y,N,N,N,N,N,N,N,N,N,N,N,0,N,N,N,N,N,N,N,0,0,0,0,N,0,N,0,0,N,N,36064,0,0,0,0,129550,NA,210895,NA,22405,NA,0,NA,0,NA,0,0,233300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,381,NA,0,NA,0,0,381,363231,0,0,0,0,0,0,125043,0,0,6457,0,0,1500,0,0,0,0,0,0,0,0,104138,0,0,0,0,0,5013,0,100684,14774,7015,4442,0,14234,383300,-15388,0,0,0,0,0,0,0,0,96424,0,0,0,0,0,81036,0,0,0,0,0,0,0,0,2550,2550,78486,0,0,0,0,0,78486,81036,02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
201735397,Alameda Civic Ballet,Alameda,CA,United States,PC,E,201912,03,Y,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,16,0,N,0,N,N,N,N,N,N,N,N,N,N,N,N,0,N,N,N,N,N,N,N,0,0,0,0,N,0,N,0,0,N,N,0,0,0,0,0,28906,NA,42638,NA,13852,NA,1439,NA,1225,NA,579,-2047,57686,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2589,0,2589,0,0,0,0,0,0,NA,0,NA,0,NA,0,0,0,89270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,442,2140,25564,16335,6461,5733,0,15681,72356,39986,0,0,22815,0,0,0,841,0,520,10466,0,0,0,0,74628,47291,0,0,0,0,0,0,0,0,47291,0,0,0,0,0,0,27337,74628,09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65177,297319,0,0,0,362496,0,0,0,362496,362496,0,0,0,0,0,362496,NA,NA,NA,NA,NA
942933309,Alonzo King Lines Ballet,San Francisco,CA,United States,PC,E,201906,03,Y,Y,N,N,N,N,N,N,N,N,Y,N,N,N,N,Y,Y,N,N,N,Y,N,Y,N,Y,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,104,0,Y,130,Y,N,N,N,N,N,N,N,N,Y,Y,N,0,N,N,N,N,N,N,N,0,0,0,0,N,0,N,0,0,N,N,346051,0,10292,2,0,1161938,711190,1905269,711190,1182769,711190,182539,711190,169923,711190,250000,0,3690500,324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,293595,152100,141495,0,0,0,39785,26624,13161,900099,7692,NA,0,NA,0,0,7692,5015110,0,150289,24150,0,242486,0,2572781,0,131970,286900,0,31026,14500,0,0,0,961450,166377,204842,0,0,248737,301949,0,0,0,0,101286,27666,267641,171762,52861,29761,0,4600,5993034,884143,338974,420008,120727,0,0,0,11065,102912,159012,0,0,0,102324,24109,2163274,208199,0,707983,0,0,0,0,0,0,916182,643946,603146,0,0,0,0,1247092,2163274,09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8740935,17385179,0,0,0,26126114,427558,335016,762574,25363540,26126114,4025,0,4025,0,76482,26206621,NA,NA,NA,NA,NA
134072157,American Academy of Ballet Performance Awards Inc.,New York,NY,United States,PC,E,201912,03,Y,N,N,N,N,N,N,N,N,N,Y,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,0,N,2,Y,N,N,N,N,N,N,N,N,N,N,N,0,N,N,N,N,N,N,N,0,0,0,0,N,0,N,0,0,N,N,49600,0,0,0,0,1010207,NA,0,NA,0,NA,0,NA,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,NA,0,0,0,1010207,0,0,0,0,124715,0,164304,0,0,0,0,0,900,0,0,0,0,42695,18335,704,0,184116,0,0,0,1378,0,0,0,193431,153868,112188,21555,0,49114,1067303,28544,0,0,0,0,0,0,0,0,2703,0,0,0,0,0,31247,0,0,0,0,0,0,0,0,86003,86003,0,0,0,0,0,0,-54756,31247,09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2469982,0,0,0,0,2469982,0,0,0,2469982,2469982,0,0,0,0,0,2469982,NA,NA,NA,NA,NA
237039510,American Friends of Covent Garden the Royal Opera the Royal Ballet,New York,NY,United States,PC,E,201908,03,Y,Y,N,N,N,N,N,N,N,N,Y,N,N,N,N,Y,Y,N,N,N,Y,Y,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,Y,5,0,N,0,N,N,N,N,N,N,N,N,N,N,N,N,0,N,N,N,N,N,N,N,0,0,0,0,N,0,N,0,0,N,N,51000,0,0,0,0,4169985,NA,0,NA,0,NA,0,NA,0,NA,0,0,0,647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77430,-77430,0,0,0,0,0,0,NA,0,NA,0,NA,0,0,0,4093202,0,0,4698241,0,55200,0,0,0,0,0,0,2587,16000,0,0,0,0,48000,2536,0,0,0,0,0,0,0,0,2950,0,6997,0,0,0,0,0,4832511,0,1786710,0,0,0,0,0,0,0,6617,0,0,0,0,0,1793327,43287,0,0,0,0,0,0,0,0,43287,1750040,0,0,0,0,0,1750040,1793327,07,0,0,32192831,0,0,32192831,23952099,8240732,32192831,2560,0,0,32195391,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
133219847,American Friends of the Paris Opera & Ballet,New York,NY,United States,PC,E,201912,03,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,Y,Y,N,N,Y,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,2,0,Y,3,Y,N,N,N,N,N,N,N,N,N,N,N,0,N,N,N,N,N,N,N,0,0,0,0,N,0,N,0,0,N,N,89583,0,968,0,0,715357,NA,0,NA,0,NA,0,NA,0,NA,0,0,0,43456,0,0,0,0,0,0,0,0,0,405497,0,379220,0,26277,0,26277,283276,55865,227411,0,0,0,0,0,0,NA,0,NA,0,NA,0,0,0,1012501,34440,0,693265,0,90551,0,15462,0,0,402,0,5983,18018,0,0,5189,0,0,20145,0,0,14764,22226,0,0,0,0,0,4460,2890,155,0,0,0,0,927950,250312,522925,0,0,0,0,0,0,0,0,274355,0,0,0,0,1047592,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1047592,1047592,07,0,0,4993493,0,0,4993493,2184287,2809206,4993493,123913,0,0,5117406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
264707947,American Friends of the Royal Ballet School Inc.,New York,NY,United States,PC,E,201912,03,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,0,0,N,0,N,N,N,N,N,N,N,N,N,N,N,N,0,N,N,N,N,N,N,N,0,0,0,0,N,0,N,0,0,N,N,0,0,0,0,0,234927,NA,0,NA,0,NA,0,NA,0,NA,0,0,0,4390,0,0,0,0,0,0,0,0,0,9840,0,10102,0,-262,0,-262,0,0,0,0,0,0,0,0,0,NA,0,NA,0,NA,0,0,0,239055,0,0,360589,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,360589,58375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58375,58375,07,0,0,2261248,0,0,2261248,770168,1491080,2261248,6210,0,0,2267458,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
